tconst,score,focus
tt0000009,0.0,rating
tt0120888,602.0,rating
tt0041883,21.0,rating
tt1223922,36.0,rating
tt0031000,24.0,rating
tt0785025,43.0,rating
tt6220752,11.0,rating
tt4177498,4.0,rating
tt0234988,8.0,rating
tt2122393,9.0,rating
tt2557954,0.0,rating
tt1487280,1.0,rating
tt0000574,3.0,rating
tt0041885,29.0,rating
tt6221000,8.0,rating
tt4177670,0.0,rating
tt1223930,9.0,rating
tt0120889,347.0,rating
tt0001892,0.0,rating
tt0041886,59.0,rating
tt1754648,18.0,rating
tt4177822,27.0,rating
tt0120890,304.0,rating
tt1223932,4.0,rating
tt10342250,11.0,rating
tt0041890,129.0,rating
tt0002101,1.0,rating
tt0051482,9.0,rating
tt3348102,41.0,rating
tt0120891,621.0,rating
tt1223934,53.0,rating
tt4178092,815.0,rating
tt5185042,0.0,rating
tt0002130,16.0,rating
tt0291053,0.0,rating
tt0120894,384.0,rating
tt1034302,187.0,rating
tt3348730,237.0,rating
tt0069253,2.0,rating
tt0366174,123.0,rating
tt1034303,797.0,rating
tt5186236,17.0,rating
tt0120899,270.0,rating
tt2122443,1.0,rating
tt2557964,1.0,rating
tt0785032,,rating
tt5186582,4.0,rating
tt2122518,24.0,rating
tt1754656,978.0,rating
tt0366180,18.0,rating
tt1034305,752.0,rating
tt0235048,2.0,rating
tt0031002,17.0,rating
tt0060397,77.0,rating
tt0099044,305.0,rating
tt2123129,21.0,rating
tt1034306,47.0,rating
tt6221254,0.0,rating
tt1487861,14.0,rating
tt0089161,52.0,rating
tt0099050,0.0,rating
tt5186714,149.0,rating
tt0235060,165.0,rating
tt0078952,134.0,rating
tt0041898,4.0,rating
tt0031005,0.0,rating
tt6221540,0.0,rating
tt0172469,112.0,rating
tt0235108,3.0,rating
tt2123139,0.0,rating
tt1034311,6.0,rating
tt4178118,0.0,rating
tt0078958,1.0,rating
tt0041902,11.0,rating
tt2123146,94.0,rating
tt0089162,1.0,rating
tt0235154,14.0,rating
tt0291117,10.0,rating
tt7688638,,rating
tt0436175,0.0,rating
tt0078960,1.0,rating
tt2558022,0.0,rating
tt0041907,17.0,rating
tt0002199,2.0,rating
tt0291131,19.0,rating
tt2558318,141.0,rating
tt3349578,6.0,rating
tt1754708,141.0,rating
tt0291141,0.0,rating
tt5186860,21.0,rating
tt0099052,304.0,rating
tt0041915,13.0,rating
tt0120900,114.0,rating
tt3349728,0.0,rating
tt1754736,109.0,rating
tt0060399,2.0,rating
tt0002281,2.0,rating
tt0291167,9.0,rating
tt0099053,8.0,rating
tt0041916,33.0,rating
tt1754750,0.0,rating
tt0002423,9.0,rating
tt0051484,12.0,rating
tt0172477,5.0,rating
tt1223936,4.0,rating
tt0120902,263.0,rating
